id,display_name,class,spec,provenance,defined,registered,implementation_class,implementation_category,configured_spell_category,configured_spell_category_reason,unlock_level,active_kit,balance_entry,spell_school,combo_reference,targeting,cooldown,effective_cost,damage,healing,cc,mobility,summon,delayed,projectile,scaling_path,regression_coverage,definition_location,registration_location
arcane_shield,Arkán Pajzs,wizard,,BASE,yes,yes,ConfiguredSpell,configured,A,immediate SELF utility primitive; no persistent/scheduled lifecycle,9,,yes,class default / primordial,,SELF,90,30,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:207,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:207
ardent_defender,Buzgó Védő,paladin,protection,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate SELF utility primitive; no persistent/scheduled lifecycle,39,,yes,class default / primordial,,SELF,90,6,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1619,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1619
armament,Fegyverzet,warrior,,BASE,yes,yes,ArmamentSpell,stateful,,,5,,yes,class default / primordial,,implementation-defined,300,80,,,,,no,yes,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/ArmamentSpell.java:31,src/main/java/hu/taliann/icesmp/core/IceSMPCore.java:774
army_of_the_dead,A Holtak Serege,death_knight,unholy,SPEC,yes,yes,SummonMinionsSpell,summon,,,45,unholy,yes,class default / primordial,,implementation-defined,300,110,,,,,yes,yes,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:144,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:144
arrow_storm,Nyílzápor,archer,,BASE,yes,yes,ProjectileBurstSpell,projectile,,,20,,yes,class default / primordial,trap-volley,implementation-defined,90,60,,,,,no,no,yes,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:279,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:279
ascendance_flame,Felemelkedés,shaman,elemental,SPEC,yes,yes,ConfiguredSpell,configured,B,generic gameplay retained; signature presentation/VFX readability is intentionally distinct,45,elemental,yes,class default / primordial,,AOE,300,150,8,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1163,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1163
atonement,Engesztelés,priest,discipline,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate AOE utility primitive; no persistent/scheduled lifecycle,30,discipline,yes,class default / primordial,,AOE,90,5,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1339,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1339
aura_mastery,Aura-mesterség,paladin,holy,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate AOE utility primitive; no persistent/scheduled lifecycle,36,,yes,class default / primordial,,AOE,120,6,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:836,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:836
avengers_shield,Bosszúálló Pajzs,paladin,protection,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate TARGET damage primitive; no persistent/scheduled lifecycle,25,protection,yes,class default / primordial,,TARGET,30,4,5,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1613,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1613
avenging_wrath,Megtorló Harag,paladin,holy,SPEC,yes,yes,ConfiguredSpell,configured,B,generic gameplay retained; signature presentation/VFX readability is intentionally distinct,45,holy,yes,class default / primordial,,AOE,300,150,,8,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:848,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:848
azure_strike,Azúr Csapás,evoker,,BASE,yes,yes,ConfiguredSpell,configured,A,immediate TARGET damage primitive; no persistent/scheduled lifecycle,4,devastation,yes,class default / primordial,,TARGET,20,30,5,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1477,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1477
barkskin,Kéregbőr,druid,,BASE,yes,yes,ConfiguredSpell,configured,A,immediate SELF utility primitive; no persistent/scheduled lifecycle,11,,yes,class default / primordial,,SELF,90,40,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:682,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:682
barrier,Mennyei Korlát,priest,discipline,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate SELF utility primitive; no persistent/scheduled lifecycle,39,discipline,yes,class default / primordial,,SELF,150,7,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1337,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1337
battle_shout,Csatakiáltás,warrior,,BASE,yes,yes,ConfiguredSpell,configured,A,immediate SELF utility primitive; no persistent/scheduled lifecycle,3,,yes,class default / primordial,shout-spin,SELF,90,4,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:229,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:229
beacon_of_light,Fény Jelzőtüze,paladin,holy,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate AOE healing primitive; no persistent/scheduled lifecycle,27,holy,yes,class default / primordial,,AOE,90,6,,4,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:823,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:823
bee_swarm,Méhraj,archer,beast_master,SPEC,yes,yes,BeeSwarmSpell,dedicated,,,28,,yes,class default / primordial,,implementation-defined,180,6,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/BeeSwarmSpell.java:21,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:550
berserk,Berserk,warrior,berserker,SPEC,yes,yes,ConfiguredSpell,configured,B,generic gameplay retained; signature presentation/VFX readability is intentionally distinct,45,berserker,yes,class default / primordial,,SELF,300,12,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:447,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:447
black_boils,Fekete Kelések,assassin,plaguebringer,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate TARGET damage primitive; no persistent/scheduled lifecycle,30,plaguebringer,yes,class default / primordial,,TARGET,50,40,3.0,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1058,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1058
black_death,Fekete Halál,assassin,plaguebringer,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate AOE damage primitive; no persistent/scheduled lifecycle,45,plaguebringer,yes,class default / primordial,,AOE,300,150,7.0,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1074,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1074
blackout,Elsötétítés,assassin,,BASE,yes,yes,ConfiguredSpell,configured,A,immediate TARGET cc primitive; no persistent/scheduled lifecycle,10,,yes,class default / primordial,,TARGET,60,40,,,BLINDNESS,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:303,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:303
blackout_kick,Sötét Rúgás,monk,,BASE,yes,yes,ConfiguredSpell,configured,A,immediate TARGET damage primitive; no persistent/scheduled lifecycle,6,windwalker,yes,class default / primordial,,TARGET,20,3,6,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1216,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1216
blade_dance,Pengetánc,demon_hunter,havoc,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate AOE damage primitive; no persistent/scheduled lifecycle,25,havoc,yes,class default / primordial,,AOE,25,4,5,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1441,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1441
blade_of_justice,Igazság Pengéje,paladin,retribution,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate TARGET damage primitive; no persistent/scheduled lifecycle,30,retribution,yes,class default / primordial,,TARGET,35,4,7,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:865,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:865
blessed_hammer,Áldott Pöröly,paladin,protection,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate TARGET damage/cc primitive; no persistent/scheduled lifecycle,33,protection,yes,class default / primordial,,TARGET,30,40,4,,SLOWNESS,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1623,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1623
blessing_of_kings,Királyok Áldása,paladin,holy,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate AOE utility primitive; no persistent/scheduled lifecycle,33,,yes,class default / primordial,,AOE,120,6,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:827,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:827
blessing_of_might,Erő Áldása,paladin,,BASE,yes,yes,ConfiguredSpell,configured,A,immediate SELF utility primitive; no persistent/scheduled lifecycle,13,,yes,class default / primordial,,SELF,120,5,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:803,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:803
blink,Villanás,wizard,,BASE,yes,yes,BlinkSpell,dedicated,,,12,,yes,class default / primordial,,implementation-defined,30,3,,,,,no,no,yes,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:214,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:214
blood_boil,Vérforralás,death_knight,,BASE,yes,yes,ConfiguredSpell,configured,A,immediate AOE damage primitive; no persistent/scheduled lifecycle,15,blood,yes,class default / primordial,,AOE,45,40,3,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:901,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:901
blood_frenzy,Vérszomj,warrior,berserker,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate SELF utility primitive; no persistent/scheduled lifecycle,29,,yes,class default / primordial,,SELF,120,6,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:419,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:419
blood_mirror,Vértükör,death_knight,blood,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate SELF utility primitive; no persistent/scheduled lifecycle,33,,yes,class default / primordial,,SELF,90,5,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:937,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:937
blood_tithe,Vér-tized,priest,bone_priest,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate AOE utility primitive; no persistent/scheduled lifecycle,36,bone_priest,yes,class default / primordial,,AOE,75,4,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1034,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1034
bloodbath,Vérfürdő,warrior,berserker,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate AOE damage/healing primitive; no persistent/scheduled lifecycle,42,berserker,yes,class default / primordial,,AOE,150,4,6,4,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:443,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:443
bone_archers,Csontíjászok,wizard,necromancer,SPEC,yes,yes,SummonMinionsSpell,summon,,,44,necromancer,yes,class default / primordial,,implementation-defined,240,100,,,,,yes,yes,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:121,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:121
bone_chill,Csontfagy,wizard,necromancer,SPEC,yes,yes,BoneChillSpell,dedicated,,,30,,yes,class default / primordial,,implementation-defined,90,25,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/BoneChillSpell.java:19,src/main/java/hu/taliann/icesmp/core/IceSMPCore.java:784
bone_mend,Csontforrasztás,priest,bone_priest,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate AOE healing primitive; no persistent/scheduled lifecycle,25,bone_priest,yes,class default / primordial,,AOE,25,30,,3.0,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1018,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1018
bone_shield,Csontpajzs,death_knight,,BASE,yes,yes,ConfiguredSpell,configured,A,immediate SELF utility primitive; no persistent/scheduled lifecycle,13,,yes,class default / primordial,,SELF,60,45,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:905,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:905
bone_spear,Csontdárda,wizard,necromancer,SPEC,yes,yes,ProjectileBurstSpell,projectile,,,34,necromancer,yes,class default / primordial,,implementation-defined,30,30,,,,,no,no,yes,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:381,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:381
bone_ward,Csont-oltalom,priest,bone_priest,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate AOE utility primitive; no persistent/scheduled lifecycle,30,bone_priest,yes,class default / primordial,,AOE,60,35,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1026,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1026
bonestorm,Csontvihar,death_knight,blood,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate AOE damage/healing primitive; no persistent/scheduled lifecycle,39,,yes,class default / primordial,,AOE,120,70,4,4,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:945,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:945
breath_of_fire,Tűz Lehelete,monk,brewmaster,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate AOE damage primitive; no persistent/scheduled lifecycle,27,brewmaster,yes,class default / primordial,,AOE,45,45,3,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1276,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1276
breath_of_sindragosa,Sindragosa Lehelete,death_knight,frost,SPEC,yes,yes,ConfiguredSpell,configured,B,generic gameplay retained; signature presentation/VFX readability is intentionally distinct,45,frost,yes,class default / primordial,,AOE,300,150,8,,"SLOWNESS,FREEZE",,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:986,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:986
bristling_fur,Borzas Bunda,druid,ironbark,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate SELF utility primitive; no persistent/scheduled lifecycle,36,ironbark,yes,class default / primordial,,SELF,75,5,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1539,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1539
bulwark,Bástya,warrior,guardian,SPEC,yes,yes,BulwarkSpell,dedicated,,,25,guardian,yes,class default / primordial,,implementation-defined,120,8,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/BulwarkSpell.java:19,src/main/java/hu/taliann/icesmp/core/IceSMPCore.java:785
camouflage,Álcázás,archer,,BASE,yes,yes,ConfiguredSpell,configured,A,immediate SELF utility primitive; no persistent/scheduled lifecycle,17,,yes,class default / primordial,,SELF,120,5,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:275,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:275
cataclysm,Kataklizma,warlock,destruction,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate AOE damage primitive; no persistent/scheduled lifecycle,39,,yes,class default / primordial,,AOE,75,60,6,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1413,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1413
celestial_alignment,Égi Együttállás,druid,lunar,SPEC,yes,yes,ConfiguredSpell,configured,B,generic gameplay retained; signature presentation/VFX readability is intentionally distinct,45,lunar,yes,class default / primordial,,AOE,300,150,8,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:776,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:776
celestial_brew,Égi Sör,monk,brewmaster,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate SELF utility primitive; no persistent/scheduled lifecycle,42,,yes,class default / primordial,,SELF,120,6,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1284,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1284
chain_heal,Lánc-gyógyítás,shaman,tidal,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate AOE healing primitive; no persistent/scheduled lifecycle,30,tidal,yes,class default / primordial,,AOE,45,5,,3,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1577,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1577
chain_lightning,Láncvillám,shaman,elemental,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate AOE damage primitive; no persistent/scheduled lifecycle,28,elemental,yes,class default / primordial,,AOE,35,45,5,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1143,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1143
chains_of_ice,Jéglánc,death_knight,,BASE,yes,yes,ChainsOfIceSpell,dedicated,,,8,,yes,class default / primordial,"deathfrost,frozen-strike",implementation-defined,30,3,,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/ChainsOfIceSpell.java:24,src/main/java/hu/taliann/icesmp/core/IceSMPCore.java:807
chaos_bolt,Káoszlövedék,warlock,destruction,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate TARGET damage primitive; no persistent/scheduled lifecycle,25,destruction,yes,class default / primordial,,TARGET,30,45,8,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1405,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1405
chaos_flame,Káosz-láng,warlock,demonologist,SPEC,yes,yes,ConfiguredSpell,configured,A,immediate AOE damage primitive; no persistent/scheduled lifecycle,36,demonologist,yes,class default / primordial,,AOE,60,50,5.0,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1090,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1090
chaos_strike,Káoszcsapás,demon_hunter,,BASE,yes,yes,ConfiguredSpell,configured,A,immediate TARGET damage primitive; no persistent/scheduled lifecycle,13,havoc,yes,class default / primordial,,TARGET,25,3,6,,,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1435,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1435
chi_wave,Csi Hullám,monk,,BASE,yes,yes,ConfiguredSpell,configured,A,immediate AOE cc primitive; no persistent/scheduled lifecycle,13,,yes,class default / primordial,,AOE,30,30,,,SLOWNESS,,no,no,no,CastModifiers -> immutable snapshot/shared primitives,class/profile + cast architecture + strict source graph,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1231,src/main/java/hu/taliann/icesmp/spells/SpellCatalog.java:1231
